#time,accel_x,accel_y,accel_z
14197.538624,5033.400406,6217.729913,-74924.139704
14197.541809,-2960.823768,4885.359217,-81206.122788
14197.544993,-3701.029710,4885.359217,-78754.617194
14197.548178,4293.194464,5181.441594,-79367.493593
14197.551362,-3108.864956,4589.276840,-77528.864398
14197.554547,148.041188,14211.954086,-72932.291410
14197.557731,-1628.453072,16728.654289,-67722.842023
14197.560916,-3404.947333,7550.100608,-67109.965625
14197.564101,-14063.912898,2368.659014,-68795.375720
14197.567285,3701.029710,5773.606348,-70480.785816
14197.570470,-12139.377449,7105.977043,-77375.645298
14197.573654,2220.617826,8882.471304,-78294.959896
14197.576839,-4441.235652,-1628.453072,-85343.038477
14197.580023,1184.329507,7105.977043,-84730.162079
14197.583208,-6217.729913,-1924.535449,-80286.808190
14197.586393,-11547.212695,1480.411884,-50102.645569
14197.589577,-8290.306550,9326.594869,-50868.741067
14197.592762,-2664.741391,4737.318029,-73851.606007
14197.595967,-2368.659014,1036.288319,-94995.841752
14197.599173,-9474.636058,1332.370696,-89633.173266
14197.602379,3108.864956,2516.700203,-85189.819378
14197.605585,-1628.453072,0.000000,-82431.875585
14197.608791,-2516.700203,7846.182985,-72779.072310
14197.611996,-740.205942,5033.400406,-72932.291410
14197.615202,148.041188,5033.400406,-81818.999186
14197.618408,-11695.253884,2072.576638,-79673.931792
14197.621614,-8734.430116,-6217.729913,-73238.729609
14197.624820,-5033.400406,296.082377,-70634.004916
14197.628025,-5329.482782,5181.441594,-72319.415011
14197.631231,-2516.700203,-6217.729913,-84270.504780
14197.634437,-5033.400406,4737.318029,-85189.819378
14197.637643,-1480.411884,2368.659014,-84576.942979
14197.640849,148.041188,5477.523971,-73391.948708
14197.644055,4441.235652,3108.864956,-75230.577904
14197.647260,-19985.560434,-2368.659014,-72625.853210
14197.650466,-12583.501014,7698.141797,-55158.875856
14197.653672,-9030.512492,18505.148550,-35087.173808
14197.656878,-3701.029710,37454.420665,-55771.752254
14197.660084,46484.933158,-7846.182985,-141421.228931
14197.663289,-13619.789333,-22650.301825,-150461.155807
14197.666495,-444.123565,17912.983796,-37079.022103
14197.669701,1924.535449,27091.537477,6741.640382
14197.672887,-19985.560434,23094.425390,-12717.185267
14197.676072,3256.906145,2960.823768,-78601.398095
14197.679258,-6661.853478,-13323.706956,-113075.695505
14197.682443,-888.247130,8142.265362,-78907.836294
14197.685629,11843.295072,13323.706956,-73851.606007
14197.688814,4737.318029,9326.594869,-84270.504780
14197.692000,-1776.494261,888.247130,-92391.117059
14197.695185,-2368.659014,4737.318029,-83657.628382
14197.698371,2072.576638,10362.883188,-58529.696047
14197.701557,-1924.535449,10362.883188,-50255.864669
14197.704742,-9918.759623,7105.977043,-68642.156621
14197.707928,-5625.565159,-4293.194464,-81052.903688
14197.711113,-296.082377,9178.553681,-84730.162079
14197.714299,4145.153275,5921.647536,-76149.892501
14197.717484,-7402.059420,13323.706956,-65271.336430
14197.720670,-3997.112087,19245.354492,-64811.679131
14197.723855,8586.388927,2220.617826,-86262.353075
14197.727041,-2664.741391,3552.988522,-80593.246390
14197.730227,-6957.935855,6069.688724,-76915.987999
14197.733412,888.247130,11103.089130,-69867.909418
14197.736598,0.000000,6809.894666,-77069.207099
14197.739783,-2812.782580,13767.830521,-77222.426198
14197.742969,20725.766376,12731.542202,-85802.695776
14197.746154,-6365.771101,-3849.070898,-93923.308055
14197.749340,-7846.182985,-7105.977043,-102043.920334
