#time,accel_x,accel_y,accel_z
488.447559,296.082377,1776.494261,-77682.083497
488.450123,-2664.741391,1628.453072,-75996.673402
488.452687,16284.530724,-5921.647536,-79061.055394
488.455251,2516.700203,-2664.741391,-71553.319513
488.457815,-4441.235652,-4885.359217,-75077.358804
488.460379,-3849.070898,3256.906145,-73545.167808
488.462943,1924.535449,3849.070898,-74770.920605
488.465507,296.082377,2516.700203,-77528.864398
488.468071,2960.823768,6069.688724,-77069.207099
488.470635,1332.370696,592.164754,-76762.768900
488.473199,-6661.853478,-3997.112087,-76303.111601
488.475763,2368.659014,-1776.494261,-75230.577904
488.478363,-6513.812290,11991.336260,-75077.358804
488.480962,-3849.070898,13471.748144,-72472.634111
488.483562,3256.906145,3552.988522,-77835.302597
488.486161,-13767.830521,11399.171507,-72932.291410
488.488761,-6365.771101,5329.482782,-74924.139704
488.491360,4885.359217,-2664.741391,-78294.959896
488.493960,-5625.565159,7550.100608,-72012.976812
488.496559,-3552.988522,4441.235652,-77528.864398
488.499159,-3404.947333,7550.100608,-76762.768900
488.501758,-7698.141797,9326.594869,-74617.701505
488.504358,-5625.565159,4589.276840,-76762.768900
488.506957,-4293.194464,4441.235652,-76609.549800
488.509556,-2960.823768,6661.853478,-73238.729609
488.512156,-1628.453072,7254.018232,-72932.291410
488.514755,-5773.606348,2960.823768,-76149.892501
488.517355,-1924.535449,2220.617826,-76149.892501
488.519954,-740.205942,7846.182985,-71553.319513
488.522554,-10214.842000,8586.388927,-74617.701505
488.525153,-5625.565159,6957.935855,-76915.987999
488.527753,-3849.070898,9178.553681,-75843.454302
488.530352,-3997.112087,9178.553681,-75537.016103
488.532952,1924.535449,6365.771101,-75690.235202
488.535551,-11695.253884,7698.141797,-73698.386908
488.538151,-6217.729913,6661.853478,-73698.386908
488.540750,-148.041188,2072.576638,-73851.606007
488.543350,-1776.494261,4441.235652,-74617.701505
488.545949,-444.123565,7994.224174,-74770.920605
488.548549,-8290.306550,12879.583391,-75690.235202
488.551148,-4441.235652,740.205942,-76762.768900
488.553747,-1628.453072,4145.153275,-78754.617194
488.556347,-13619.789333,8882.471304,-69714.690318
488.558946,17172.777854,3997.112087,-79520.712692
488.561546,-23982.672521,13915.871710,-66497.089226
488.564145,14063.912898,-17024.736666,-84883.381178
488.566745,9918.759623,8290.306550,-69255.033019
488.569344,-17616.901420,5181.441594,-70634.004916
488.571944,24130.713709,-8882.471304,-81818.999186
488.574543,-19541.436869,13175.665768,-69255.033019
488.577143,-740.205942,-1184.329507,-79214.274493
488.579742,14063.912898,1036.288319,-73851.606007
488.582358,-2368.659014,5773.606348,-74311.263306
488.584973,-6661.853478,148.041188,-75996.673402
488.587589,8142.265362,-6957.935855,-80133.589091
488.590204,-7846.182985,4293.194464,-72472.634111
488.592820,7254.018232,-1628.453072,-76915.987999
488.595435,5477.523971,1332.370696,-76609.549800
488.598051,-4885.359217,6217.729913,-76609.549800
488.600666,-3997.112087,1036.288319,-75996.673402
488.603282,-1332.370696,-592.164754,-76149.892501
488.605898,-444.123565,2960.823768,-73238.729609
488.608513,5921.647536,888.247130,-76762.768900
488.611129,-2960.823768,-444.123565,-79827.150892
488.613744,-5033.400406,2220.617826,-77988.521696
488.616360,-2960.823768,2072.576638,-76456.330700
488.618975,2368.659014,2072.576638,-74924.139704
488.621591,5033.400406,3108.864956,-75077.358804
488.624206,1332.370696,-1628.453072,-77682.083497
488.626822,-2072.576638,-2072.576638,-76456.330700
488.629437,3108.864956,-2072.576638,-76609.549800
488.632053,2220.617826,-5181.441594,-77528.864398
488.634668,3997.112087,-3552.988522,-76762.768900
488.637284,-592.164754,2812.782580,-75230.577904
