#time,accel_x,accel_y,accel_z
1392.909064,-1184.329507,3701.029710,-77375.645298
1392.911506,2072.576638,2664.741391,-75843.454302
1392.913947,10510.924376,-888.247130,-73698.386908
1392.916388,-5773.606348,-4145.153275,-67722.842023
1392.918830,6217.729913,-1924.535449,-75230.577904
1392.921271,3849.070898,2664.741391,-77528.864398
1392.923712,8290.306550,3404.947333,-74311.263306
1392.926154,5625.565159,-1628.453072,-75843.454302
1392.928595,-1628.453072,10955.047942,-71246.881314
1392.931103,740.205942,-592.164754,-74158.044206
1392.933611,-4145.153275,-2812.782580,-78294.959896
1392.936119,-2516.700203,7402.059420,-71859.757712
1392.938628,-3849.070898,1776.494261,-76762.768900
1392.941136,1776.494261,6069.688724,-78754.617194
1392.943644,-8142.265362,14952.160028,-68642.156621
1392.946152,-10362.883188,6069.688724,-77222.426198
1392.948660,1036.288319,5181.441594,-78294.959896
1392.951168,3108.864956,3552.988522,-76456.330700
1392.953676,-3256.906145,-1036.288319,-74158.044206
1392.956184,-3849.070898,3849.070898,-74158.044206
1392.958693,-13471.748144,9326.594869,-75230.577904
1392.961201,-4737.318029,9770.718434,-77835.302597
1392.963709,-1628.453072,9622.677246,-72779.072310
1392.966217,-4885.359217,3108.864956,-74158.044206
1392.968725,1924.535449,2220.617826,-75077.358804
1392.971233,-9474.636058,7254.018232,-76149.892501
1392.973741,-6809.894666,4589.276840,-75383.797003
1392.976249,2960.823768,-3404.947333,-77988.521696
1392.978757,-3849.070898,4145.153275,-74464.482406
1392.981266,-5329.482782,7846.182985,-73238.729609
1392.983774,-6957.935855,10066.800811,-77222.426198
1392.986282,-10362.883188,8586.388927,-75690.235202
1392.988790,7846.182985,2664.741391,-73698.386908
1392.991298,-4293.194464,7254.018232,-70174.347617
1392.993806,-9326.594869,9178.553681,-73391.948708
1392.996314,-8734.430116,7402.059420,-74617.701505
1392.998822,-7994.224174,2664.741391,-76762.768900
1393.001331,5477.523971,4293.194464,-73851.606007
1393.003839,-2220.617826,7846.182985,-70480.785816
1393.006347,1480.411884,6661.853478,-77528.864398
1393.008855,-8438.347739,6217.729913,-74770.920605
1393.011363,-14211.954086,12731.542202,-70787.224015
1393.013871,-4441.235652,2960.823768,-70940.443115
1393.016379,20133.601622,444.123565,-81359.341888
1393.018887,2812.782580,19393.395680,-68795.375720
1393.021395,-18061.024985,6661.853478,-70327.566716
1393.023904,10066.800811,-20429.683999,-85649.476676
1393.026412,-18061.024985,21169.889941,-61594.078039
1393.028920,13027.624579,-13619.789333,-87181.667672
1393.031471,1036.288319,-7550.100608,-87947.763170
1393.034021,-16728.654289,17468.860231,-70021.128517
1393.036572,-888.247130,-2516.700203,-82585.094684
1393.039123,3256.906145,-1332.370696,-74004.825107
1393.041673,-296.082377,2960.823768,-67876.061123
1393.044224,6957.935855,-4145.153275,-78294.959896
1393.046775,-888.247130,3849.070898,-75077.358804
1393.049326,-7994.224174,4589.276840,-72932.291410
1393.051876,1776.494261,592.164754,-75996.673402
1393.054427,9770.718434,444.123565,-75996.673402
