#time,accel_x,accel_y,accel_z
11275.752010,-1184.329507,10362.883188,-67109.965625
11275.754728,1184.329507,6661.853478,-75077.358804
11275.757447,-7402.059420,1480.411884,-86109.133975
11275.760166,-2368.659014,3108.864956,-81972.218286
11275.762885,-444.123565,10510.924376,-64198.802732
11275.765603,-3849.070898,9326.594869,-62513.392637
11275.768322,-4737.318029,9178.553681,-73698.386908
11275.771293,296.082377,1628.453072,-88560.639569
11275.774257,-5033.400406,3108.864956,-77375.645298
11275.777221,-1776.494261,8438.347739,-66343.870127
11275.780185,-3256.906145,5921.647536,-69101.813920
11275.783149,-2812.782580,8882.471304,-72012.976812
11275.786114,-592.164754,2812.782580,-81818.999186
11275.789078,-3552.988522,1480.411884,-83197.971083
11275.792042,-1776.494261,8142.265362,-76762.768900
11275.795006,-7254.018232,7254.018232,-66190.651027
11275.797970,-10955.047942,11251.130318,-69714.690318
11275.800934,-740.205942,10510.924376,-73698.386908
11275.803898,5921.647536,3849.070898,-82738.313784
11275.806862,-2220.617826,1036.288319,-85802.695776
11275.809826,-4885.359217,3701.029710,-81052.903688
11275.812791,8438.347739,9326.594869,-67876.061123
11275.815755,-11251.130318,4737.318029,-64198.802732
11275.818719,-11695.253884,8586.388927,-71400.100414
11275.821683,10066.800811,10362.883188,-82278.656485
11275.824647,-3849.070898,-4293.194464,-82585.094684
11275.827611,-9918.759623,6661.853478,-69408.252119
11275.830575,-7402.059420,13175.665768,-61747.297139
11275.833539,-5033.400406,3256.906145,-68795.375720
11275.836503,2072.576638,2072.576638,-90705.706963
11275.839468,-1924.535449,0.000000,-86722.010374
11275.842432,-10214.842000,5329.482782,-66650.308326
11275.845396,-6069.688724,7550.100608,-64198.802732
11275.848360,-1628.453072,4885.359217,-75996.673402
11275.851324,-1036.288319,4737.318029,-77988.521696
11275.854288,-15988.448347,9178.553681,-70327.566716
11275.857252,-7846.182985,1924.535449,-71859.757712
11275.860216,-28127.825796,8142.265362,-74617.701505
11275.863180,4885.359217,4589.276840,-76762.768900
11275.866099,592.164754,2812.782580,-74004.825107
11275.869017,-19393.395680,6217.729913,-74311.263306
11275.871935,3552.988522,4737.318029,-76149.892501
11275.874854,-1776.494261,6809.894666,-76303.111601
11275.877772,-5181.441594,7254.018232,-69714.690318
11275.880691,-6217.729913,7550.100608,-69101.813920
11275.883609,-11991.336260,7698.141797,-73698.386908
11275.886527,-740.205942,-592.164754,-82125.437386
11275.889446,-740.205942,-888.247130,-89326.735067
11275.892364,-5773.606348,6069.688724,-75537.016103
11275.895282,-17912.983796,148.041188,-47344.701776
11275.898201,-4145.153275,14211.954086,-44127.100685
11275.901119,13323.706956,3108.864956,-85189.819378
11275.904037,10362.883188,-3108.864956,-101584.263035
11275.906956,148.041188,2812.782580,-89479.954166
11275.909874,-9326.594869,3256.906145,-76915.987999
11275.912793,10807.006753,21465.972318,-54545.999458
11275.915711,13915.871710,-1184.329507,-86262.353075
11275.918629,-14508.036463,0.000000,-92544.336158
11275.921548,-592.164754,10066.800811,-75537.016103
11275.924466,-10955.047942,5477.523971,-57610.381450
11275.927384,-11991.336260,13027.624579,-55771.752254
11275.930303,2516.700203,5329.482782,-86568.791274
11275.933221,1036.288319,-2516.700203,-100358.510238
11275.936139,-11547.212695,5033.400406,-86109.133975
11275.939058,6661.853478,10658.965565,-66803.527426
11275.941976,9474.636058,11843.295072,-61287.639840
11275.944895,4885.359217,10807.006753,-63892.364533
11275.947813,5033.400406,6809.894666,-69408.252119
11275.950731,-2368.659014,5329.482782,-81052.903688
11275.953650,10510.924376,6217.729913,-81052.903688
11275.956568,4145.153275,7698.141797,-68335.718422
11275.959474,1924.535449,6957.935855,-65271.336430
11275.962379,592.164754,8734.430116,-60061.887043
11275.965285,-3552.988522,296.082377,-66803.527426
11275.968191,-1480.411884,6809.894666,-65118.117330
11275.971096,4441.235652,8142.265362,-79061.055394
11275.974002,10362.883188,-888.247130,-91778.240660
11275.976908,-8438.347739,-1036.288319,-91165.364262
11275.979813,9030.512492,13915.871710,-75537.016103
11275.982719,17024.736666,5477.523971,-78141.740796
11275.985625,5625.565159,16136.489536,-75843.454302
11275.988530,-2220.617826,-3256.906145,-91165.364262
11275.991436,-16580.613101,4589.276840,-77682.083497
11275.994342,-8290.306550,10510.924376,-65424.555529
11275.997247,-3256.906145,8586.388927,-78294.959896
11276.000153,1480.411884,4737.318029,-84576.942979
11276.003059,-13027.624579,-444.123565,-97447.347346
11276.005964,-10362.883188,9326.594869,-78601.398095
11276.008870,4589.276840,17764.942608,-74158.044206
11276.011776,-8734.430116,1036.288319,-77835.302597
11276.014681,0.000000,4145.153275,-81359.341888
11276.017587,-4885.359217,4145.153275,-83657.628382
11276.020493,-10066.800811,9178.553681,-65271.336430
11276.023398,-6069.688724,8734.430116,-66497.089226
11276.026304,-13175.665768,10955.047942,-75077.358804
11276.029210,-1184.329507,3256.906145,-84117.285680
11276.032115,-3404.947333,2220.617826,-83657.628382
11276.035021,-592.164754,1628.453072,-79827.150892
11276.037927,-4145.153275,12435.459826,-74464.482406
11276.040832,-7846.182985,5477.523971,-78907.836294
11276.043738,-6365.771101,4145.153275,-80593.246390
11276.046644,-5033.400406,7698.141797,-75537.016103
11276.049549,5921.647536,4589.276840,-67263.184724
11276.052621,-5773.606348,6809.894666,-62206.954438
11276.055693,-17616.901420,8586.388927,-69714.690318
11276.058764,-3256.906145,7550.100608,-77682.083497
11276.061836,1184.329507,1184.329507,-77069.207099
11276.064908,-5477.523971,5181.441594,-83504.409282
