#time,accel_x,accel_y,accel_z
2399.295149,1924.535449,3552.988522,-76149.892501
2399.297598,-3404.947333,3108.864956,-74770.920605
2399.300047,-2812.782580,4441.235652,-72932.291410
2399.302497,888.247130,2664.741391,-74158.044206
2399.304946,-5921.647536,3404.947333,-74770.920605
2399.307395,1924.535449,3997.112087,-75230.577904
2399.309844,-3701.029710,5773.606348,-72012.976812
2399.312293,-3701.029710,3849.070898,-71706.538613
2399.314742,2812.782580,3404.947333,-73698.386908
2399.317191,-5625.565159,5625.565159,-74617.701505
2399.319641,-148.041188,3552.988522,-74924.139704
2399.322090,-888.247130,3108.864956,-75537.016103
2399.324539,-4145.153275,6661.853478,-70940.443115
2399.326988,1480.411884,4441.235652,-69408.252119
2399.329437,-6069.688724,6069.688724,-72012.976812
2399.331886,-13915.871710,6069.688724,-73391.948708
2399.334336,4885.359217,1184.329507,-70940.443115
2399.336785,-11103.089130,444.123565,-71400.100414
2399.339234,38638.750172,-7402.059420,-72932.291410
2399.341683,-20133.601622,-740.205942,-51328.398366
2399.344132,13915.871710,1628.453072,-59449.010645
2399.346581,-5773.606348,10066.800811,-60215.106143
2399.349030,-7105.977043,2220.617826,-70327.566716
2399.351480,13323.706956,11399.171507,-74158.044206
2399.353929,-10362.883188,11695.253884,-71400.100414
2399.356378,-2220.617826,8586.388927,-73698.386908
2399.358827,-296.082377,-10214.842000,-82278.656485
2399.361276,-7105.977043,3849.070898,-70634.004916
2399.363725,-1924.535449,2368.659014,-75230.577904
2399.366175,-1184.329507,13027.624579,-72932.291410
2399.368624,1924.535449,18061.024985,-70174.347617
2399.371073,-4589.276840,7698.141797,-72166.195912
2399.373522,-7846.182985,12139.377449,-65424.555529
2399.376018,2220.617826,5773.606348,-68795.375720
2399.378514,1036.288319,2368.659014,-72932.291410
2399.381010,444.123565,3404.947333,-73698.386908
2399.383506,-2812.782580,5329.482782,-75077.358804
2399.386002,-4145.153275,12435.459826,-72472.634111
2399.388498,-7402.059420,16284.530724,-78294.959896
2399.390994,5921.647536,2516.700203,-81052.903688
2399.393490,-4293.194464,8882.471304,-72625.853210
